,Date,CustomerID,PaymentMode,ShippingMode,Gender,ShippingTime,Price,ProductType,Rating,Total_Ratings,PaymentMode
0,16/08/20,10471,Creditcard,Economy,Female,17.0,₹ 675036.2138626401,coates,1 start,8736,Creditcard
1,2/8/2020 0:00,10472,Ewallet,Mail,Unspecified,12.0,"€ 2,315.53",dresses ,2 star,8547,Ewallet
2,8/8/2020 0:00,10473,Prepaid Card,Mail,,10.0,₹ 611426.29122378,,2 star,9833,Prepaid Card
3,,10474,Directdeposit,Normal,Female,2133.0,₹ 210869.48083470002,dresses ,2star,7591,Directdeposit
4,24/08/20,10475,,Economy,Male,2133.0,₹ 679422.2811434,pantas,1 start,5131,
5,28/08/20,10476,Direct Deposit,Mail,Female,20.0,,Coats/Jackets,2 star,5347,Direct Deposit
6,8/8/2020 0:00,10477,Direct Deposit,Mail,Unspecified,14.0,£ 6610.077565000001,coates,5 star,9406,Direct Deposit
7,8/8/2020 0:00,10478,Direct Deposit,Mail,Unspecified,18.0,"$4,287.06 ",Jeans,,8554,Direct Deposit
8,1/8/2020 0:00,10479,Direct Deposit,Express,Male,,£ 3010.212198,pantas,4 star,9630,Direct Deposit
9,16/08/20,10480,Prepaid Card,Express,Female,19.0,£ 4032878.5368307503,Pants,1 start,6914,Prepaid Card
10,21/08/20,10481,,Economy,Female,17.0,"€ 3,702.54",dresses ,2star,7750,
11,18/08/20,10482,Mobile Payment,Mail,Female,10.0,"€ 6,580.20",pantas,5 star,7816,Mobile Payment
12,11/8/2020 0:00,10483,Cash,Express,Unspecified,6.0,"$6,756.94 ",Cardigan,4 star,7021,Cash
13,2/8/2020 0:00,10484,Mobile Payment,Express,Male,18.0,"$3,148.65 ",Coats/Jackets,,5024,Mobile Payment
14,20/08/20,10485,Mobile,Mail,Female,7.0,"$9,743.11 ",dresses ,1 start,9030,Mobile
15,6/8/2020 0:00,10486,Direct Deposit,,Male,19.0,£ 2190.66134375,coates,1 start,6701,Direct Deposit
16,17/08/20,10487,Credit Card,Economy,Female,19.0,£ 25773831.320659,Pants,2star,5783,Credit Card
17,17/08/20,10488,Ewallet,Mail,Female,10.0,"$1,991.18 ",Dresses,5 star,7659,Ewallet
18,17/08/20,10489,Direct Deposit,Economy,Unspecified,17.0,"€ 1,749.40",Shirts/Tops,4 star,7273,Direct Deposit
19,14/08/20,10490,,Economy,Female,17.0,"$6,221.36 ",Shirts/Tops,,9296,
20,5/8/2020 0:00,10491,Prepaid Card,Economy,Female,20.0,"€ 1,514.11",Coats/Jackets,1 start,9714,Prepaid Card
21,13/08/20,10492,Directdeposit,Express,Unspecified,19.0,£ 3854.8617452500007,Dresses,4 star,9170,Directdeposit
22,4/8/2020 0:00,10493,Ewallet,Normal,Unspecified,17.0,₹ 634808.1963701401,Pants,4 star,6943,Ewallet
23,3/8/2020 0:00,10494,Credit Card,Mail,Male,20.0,₹ 596893.42988816,dresses ,2 star,5668,Credit Card
24,7/8/2020 0:00,10495,Ewallet,,Unspecified,14.0,£ 3215.41893075,Shirts/Tops,4 star,5077,Ewallet
25,8/8/2020 0:00,10496,Prepaid Card,Express,Male,20.0,£ 4564.22450475,Hats,4 star,6594,Prepaid Card
26,6/8/2020 0:00,10497,,Express,Male,11.0,"€ 5,813.36",dresses ,1 start,7605,
27,19/08/20,10498,Direct Deposit,Express,Unspecified,213.0,₹ 635118.07344224,Coats/Jackets,3 star,9297,Direct Deposit
28,30/08/20,10499,Cash,Economy,,17.0,₹ 176647.10500702,Pants,4 star,7160,Cash
29,2/8/2020 0:00,10500,Direct Deposit,Mail,,5.0,"$21,312,321.13 ",Jeans,1 start,9410,Direct Deposit
